City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zhengjiatun,43.5064,123.5064,10.07,33,100,8.51,CN,1731303424
83,iqaluit,63.7506,-68.5145,-3.15,68,75,5.14,CA,1731303425
84,muli,2.9167,73.5667,27.39,77,15,2.06,MV,1731303427
85,chusovoy,58.3013,57.8131,-5.83,86,87,4.11,RU,1731303428
86,fale old settlement,-9.3852,-171.2468,28.32,76,46,6.25,TK,1731303429
87,taoudenni,22.6783,-3.9836,21.95,19,46,3.48,ML,1731303430
88,puerto ayora,-0.7393,-90.3518,21.42,87,94,1.79,EC,1731303431
89,kavaratti,10.5669,72.642,28.31,71,33,3.53,IN,1731303432
90,kambove,-10.8764,26.5969,19.95,83,56,1.71,CD,1731303434
91,fort mcmurray,56.7268,-111.381,-2.23,86,100,2.57,CA,1731303435
92,bardai,11.65,7.2333,17.04,32,43,3.86,NG,1731303436
93,badger,64.8,-147.5333,-18.07,82,0,0.0,US,1731303437
94,dunedin,-45.8742,170.5036,13.78,58,40,2.68,NZ,1731303438
95,taksimo,56.3444,114.8794,-10.07,74,98,0.4,RU,1731303440
96,nahiyat ash shinafiyah,31.5874,44.6602,26.38,34,84,3.86,IQ,1731303441
97,nagqu,31.5,92.0,7.44,11,1,11.03,CN,1731303442
98,dakhla,23.6848,-15.958,21.91,45,0,4.08,EH,1731303444
99,choibalsan,48.0667,114.5,0.21,54,17,7.17,MN,1731303446
100,anna regina,7.2644,-58.5077,27.76,76,77,4.24,GY,1731303447
101,albany,42.6001,-73.9662,8.69,76,100,1.03,US,1731303328
102,qaqortoq,60.7167,-46.0333,-2.05,95,100,0.36,GL,1731303449
103,adjumani,3.3779,31.7909,23.62,76,54,0.39,UG,1731303450
104,tamanrasset,22.785,5.5228,9.95,43,0,2.57,DZ,1731303452
105,ar ruways,24.1103,52.7306,27.91,45,8,1.21,AE,1731303453
106,kendari,-3.945,122.4989,31.25,62,26,2.81,ID,1731303455
107,isafjordur,66.0755,-23.124,3.16,81,75,6.78,IS,1731303457
108,hamilton,39.1834,-84.5333,14.96,80,20,6.69,US,1731303458
109,ketchikan,55.3422,-131.6461,7.41,87,100,4.63,US,1731303459
110,hounde,11.5,-3.5167,21.28,31,11,2.58,BF,1731303460
111,ostersund,63.1792,14.6357,-0.22,93,100,2.06,SE,1731303461
112,nelson bay,-32.7167,152.15,20.61,98,100,2.68,AU,1731303463
113,broken hill,-31.95,141.4333,24.57,36,92,6.41,AU,1731303208
114,wailua homesteads,22.0669,-159.378,23.44,92,100,8.75,US,1731303466
115,sitka,57.0531,-135.33,7.94,66,75,7.72,US,1731303467
116,balaklava,44.5,33.6,10.19,73,100,1.17,UA,1731303469
117,kudahuvadhoo,2.6708,72.8944,28.34,74,100,4.28,MV,1731303470
118,jamestown,42.097,-79.2353,13.8,90,100,5.81,US,1731303456
119,morehead city,34.7229,-76.726,22.02,82,75,3.09,US,1731303472
120,luanda,-8.8368,13.2343,25.0,83,75,2.06,AO,1731303244
121,san angelo,31.4638,-100.437,11.97,79,0,1.54,US,1731303475
122,new richmond,45.123,-92.5366,9.91,91,100,4.63,US,1731303476
